"Jahr";"Stadtraum";"Wegezweck";"Anteil Weg nur zu Fuß";"Anteil Weg mit Fahrrad";"Anteil Weg mit Straßenbahn";"Anteil Weg mit Bus (Stadtverk.)";"Anteil Weg mit Bus (Regionalverk.)";"Anteil Weg mit S-Bahn/Bahn AG";"Anteil Weg mit Motorrad etc.";"Anteil Weg als Pkw-Mitfahrer";"Anteil Weg als Pkw-Selbstfahrer";"Anteil Weg mit sonstigem Verkehrsmittel"
"1995";"01 StB Altstadt ohne Johannstadt";"Weg zur Arbeit";8;8;29;8;1;2;0;3;40;1
"1995";"01 StB Altstadt ohne Johannstadt";"Weg zum Einkaufen";16;5;26;10;1;1;0;5;35;1
"1995";"02 Johannstadt";"Weg zur Arbeit";7;12;29;11;0;1;1;5;34;0
"1995";"02 Johannstadt";"Weg zum Einkaufen";18;10;20;11;1;0;1;7;30;2
"1995";"03 StB Neustadt ohne Leipziger Vorstadt";"Weg zur Arbeit";9;15;29;6;0;2;2;1;35;1
"1995";"03 StB Neustadt ohne Leipziger Vorstadt";"Weg zum Einkaufen";11;17;23;4;0;0;1;8;35;1
"1995";"04 Leipziger Vorstadt, Pieschen";"Weg zur Arbeit";6;11;31;8;1;3;0;3;38;0
"1995";"04 Leipziger Vorstadt, Pieschen";"Weg zum Einkaufen";14;5;25;9;1;1;0;9;34;2
"1995";"05 Mickten, Kaditz, Trachau";"Weg zur Arbeit";6;12;21;10;0;4;1;2;45;1
"1995";"05 Mickten, Kaditz, Trachau";"Weg zum Einkaufen";3;9;21;12;1;2;0;9;42;1
"1995";"06 StB Klotzsche und nördliche OS";"Weg zur Arbeit";6;11;23;12;1;0;1;4;41;1
"1995";"06 StB Klotzsche und nördliche OS";"Weg zum Einkaufen";7;13;21;7;1;1;0;7;43;1
"1995";"07 StB Loschwitz und OS Schönfeld-Weißig";"Weg zur Arbeit";5;9;19;12;3;2;2;4;45;0
"1995";"07 StB Loschwitz und OS Schönfeld-Weißig";"Weg zum Einkaufen";4;9;16;14;1;0;1;8;46;1
"1995";"08 Blasewitz, Striesen";"Weg zur Arbeit";5;17;26;8;0;1;0;3;39;1
"1995";"08 Blasewitz, Striesen";"Weg zum Einkaufen";8;13;21;9;1;0;0;7;40;1
"1995";"09 Tolkewitz, Seidnitz, Gruna";"Weg zur Arbeit";6;13;26;8;0;3;1;3;39;1
"1995";"09 Tolkewitz, Seidnitz, Gruna";"Weg zum Einkaufen";10;11;24;11;1;0;1;9;32;1
"1995";"10 StB Leuben";"Weg zur Arbeit";6;12;25;7;1;4;1;2;42;1
